Source,Site,Phase,Context,SiteCode,Specimen,Element,GLI,GLm,DI,Dm,Bd,GL,GD,GB,min.w.sh/midpoint w.shaft,max w.sh/th.shaft,Bp,DC,Td,BT,HTC,Dp,Dd,LA,SH,SB,MHP,MWP,DLS,Ld,SLC,GLP,BG,DPA,SDO,BPC,SD,GLpe,BFp,BFd,LG,LO,MBS
Martin,Dhuweila (Late Neolithic),8,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,23.30,18.50,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),8,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,23.70,18.70,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),8,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,18.90,14.80,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),8,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,21.90,17.30,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),8,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,22.60,17.80,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),8,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,24.90,20.30,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),8,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,26.20,22.20,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),8,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,23.80,19.70,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),8,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,24.40,19.50,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),8,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,24.10,19.20,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),8,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,22.00,17.50,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),8,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,25.50,20.90,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),8,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,22.90,19.80,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),8,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,23.40,18.50,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),8,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,23.40,18.50,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),8,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,24.10,20.20,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),8,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,24.00,20.10,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),9,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,24.70,19.90,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),9,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,22.80,18.30,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),9,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,25.30,20.80,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),9,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,22.90,18.30,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),9,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,21.30,17.10,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),9,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,23.90,19.70,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),9,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,24.00,19.30,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),9,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,22.70,18.50,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),9,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,24.80,21.30,,,,,,,,,,,,,
Martin,Dhuweila (Late Neolithic),9,,DHW_LN,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,23.40,18.30,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Astragalus,24.90,22.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Astragalus,27.50,25.60,15.00,15.00,16.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Astragalus,27.10,25.00,15.10,14.80,16.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Astragalus,26.10,24.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Astragalus,25.50,24.20,14.10,13.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Astragalus,26.10,24.50,14.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Astragalus,,25.10,15.10,,15.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Astragalus,24.20,22.10,12.80,11.90,13.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Astragalus,26.40,24.80,14.20,14.50,15.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Astragalus,26.40,24.50,14.50,15.10,14.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Astragalus,27.80,26.00,14.90,,15.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Astragalus,27.70,25.90,15.30,15.20,16.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Astragalus,25.60,23.80,13.90,14.10,15.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Astragalus,27.00,25.20,15.10,,15.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Astragalus,25.60,24.00,14.50,14.10,15.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Astragalus,26.50,24.50,14.80,,16.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Astragalus,27.50,25.30,14.70,15.10,15.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),4,,DHW_PPNB,,Astragalus,25.20,24.00,13.20,14.40,13.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),4,,DHW_PPNB,,Astragalus,26.00,24.20,13.80,13.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),4,,DHW_PPNB,,Astragalus,25.70,24.20,13.80,14.00,13.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),4,,DHW_PPNB,,Astragalus,24.30,22.40,14.00,,14.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Astragalus,24.90,23.70,13.80,14.20,15.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Astragalus,26.10,24.40,14.80,14.20,16.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Astragalus,25.30,22.90,14.20,14.00,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Astragalus,26.90,24.50,14.90,,14.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Astragalus,26.80,23.90,15.90,,15.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Astragalus,24.70,23.50,13.60,13.90,14.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Astragalus,23.40,,13.50,13.90,14.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Astragalus,26.00,,14.40,14.50,15.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Humerus,,,,,,,,,,,,,,23.70,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Humerus,,,,,,,,,,,,,,22.90,12.90,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Humerus,,,,,,,,,,,,,,22.60,12.50,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Humerus,,,,,,,,,,,,,,23.50,14.30,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),4,,DHW_PPNB,,Humerus,,,,,25.60,,,,,,,,,24.20,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),4,,DHW_PPNB,,Humerus,,,,,25.40,,,,,,,,,23.30,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),4,,DHW_PPNB,,Humerus,,,,,26.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),4,,DHW_PPNB,,Humerus,,,,,,,,,,,,,,24.60,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),4,,DHW_PPNB,,Humerus,,,,,,,,,,,,,,24.10,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Humerus,,,,,26.50,,,,,,,,,24.20,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Humerus,,,,,25.00,,,,,,,,,23.50,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Humerus,,,,,,,,,,,,,,20.40,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Humerus,,,,,,,,,,,,,,21.70,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Metacarpal,,,,,19.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Metacarpal,,,,,18.90,,,,,,,,,,,,14.00,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),2,,DHW_PPNB,,Metacarpal,,,,,20.50,,,,,,,,,,,,14.80,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Metacarpal,,,,,18.90,,,,,,,,,,,,15.50,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Metacarpal,,,,,20.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Metacarpal,,,,,20.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Metacarpal,,,,,18.20,,,,,,,,,,,,13.60,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Navicular-cuboid,,,,,,,18.50,20.00,,,,,,,,,15.30,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Navicular-cuboid,,,,,,,19.00,20.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Navicular-cuboid,,,,,,,20.00,19.50,,,,,,,,,16.50,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Navicular-cuboid,,,,,,,17.00,18.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Navicular-cuboid,,,,,,,18.50,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Navicular-cuboid,,,,,,,18.50,20.00,,,,,,,,,17.10,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),4,,DHW_PPNB,,Navicular-cuboid,,,,,,,18.50,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Navicular-cuboid,,,,,,,18.00,19.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Navicular-cuboid,,,,,,,18.50,20.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Phalanx1,,,,,,39.00,,,,,10.90,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Phalanx1,,,,,,32.00,,,,,9.20,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Phalanx1,,,,,,41.00,,,,,9.20,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Phalanx1,,,,,,34.00,,,,,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),2,,DHW_PPNB,,Phalanx1,,,,,,40.50,,,,,9.40,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),2,,DHW_PPNB,,Phalanx1,,,,,,34.00,,,,,9.20,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Phalanx1,,,,,,36.00,,,,,8.90,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Phalanx1,,,,,,33.50,,,,,10.40,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Phalanx1,,,,,,36.00,,,,,9.60,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),4,,DHW_PPNB,,Phalanx1,,,,,,41.50,,,,,8.80,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx1,,,,,,37.50,,,,,11.40,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx1,,,,,,34.00,,,,,10.50,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx1,,,,,,39.00,,,,,10.90,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx1,,,,,,40.50,,,,,9.20,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Phalanx2,,,,,,21.00,,,,,8.80,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Phalanx2,,,,,,20.50,,,,,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Phalanx2,,,,,,17.00,,,,,7.10,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Phalanx2,,,,,,17.00,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Phalanx2,,,,,,16.50,,,,,7.80,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Phalanx2,,,,,,17.50,,,,,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),2,,DHW_PPNB,,Phalanx2,,,,,,20.00,,,,,8.10,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Phalanx2,,,,,,17.00,,,,,8.30,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Phalanx2,,,,,,17.00,,,,,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Phalanx2,,,,,,22.00,,,,,9.70,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),4,,DHW_PPNB,,Phalanx2,,,,,,20.00,,,,,8.80,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx2,,,,,,22.50,,,,,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx2,,,,,,21.00,,,,,9.20,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx2,,,,,,20.50,,,,,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx2,,,,,,21.00,,,,,9.30,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx2,,,,,,21.00,,,,,8.40,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx2,,,,,,19.00,,,,,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx2,,,,,,20.00,,,,,8.40,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx2,,,,,,20.50,,,,,8.60,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx2,,,,,,19.50,,,,,9.20,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx2,,,,,,20.00,,,,,8.40,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx2,,,,,,19.00,,,,,8.20,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx2,,,,,,20.00,,,,,8.40,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx2,,,,,,18.50,,,,,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,23.80,19.20,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,25.70,21.50,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,26.40,21.40,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,24.60,19.70,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,24.60,20.00,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,25.10,20.70,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),1,,DHW_PPNB,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,26.80,21.50,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,23.60,19.50,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,23.90,20.30,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),3,,DHW_PPNB,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,26.10,20.70,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),4,,DHW_PPNB,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,25.50,20.60,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,24.70,20.90,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,21.30,17.30,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,,DHW_PPNB,,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,25.40,20.00,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21002,KHIV,9,Phalanx1,,,,,9.10,38.00,,,,,10.70,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21002,KHIV,12,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,23.60,23.70,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21003,KHIV,13,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,25.50,21.30,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21005,KHIV,21,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,23.40,18.80,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,22,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,25.70,21.10,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,35,Pelvis,,,,,,,,,,,,,,,,,,27.40,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,36,Pelvis,,,,,,,,,,,,,,,,,,28.10,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,37,Pelvis,,,,,,,,,,,,,,,,,,28.40,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,38,Pelvis,,,,,,,,,,,,,,,,,,,,,5.10,8.40,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,39,Pelvis,,,,,,,,,,,,,,,,,,,,,6.80,9.20,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,50,Phalanx1,,,,,8.90,39.00,,,,,10.60,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,51,Phalanx1,,,,,9.40,38.50,,,,,11.10,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,52,Phalanx1,,,,,7.30,40.00,,,,,8.60,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,53,Phalanx1,,,,,8.10,39.20,,,,,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,54,Phalanx1,,,,,9.00,39.50,,,,,10.50,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,55,Phalanx1,,,,,8.60,40.00,,,,,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,56,Phalanx1,,,,,8.10,36.50,,,,,9.90,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,57,Phalanx1,,,,,8.20,35.00,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,58,Phalanx1,,,,,8.50,37.50,,,,,10.50,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,59,Phalanx1,,,,,8.30,36.50,,,,,10.30,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,60,Phalanx1,,,,,8.70,40.00,,,,,9.60,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,61,Phalanx1,,,,,8.60,42.00,,,,,9.10,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,70,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,25.60,20.00,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,71,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,25.00,20.10,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,72,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,25.90,20.40,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,73,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,25.90,20.90,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,74,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,28.20,22.80,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21006,KHIV,75,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,23.40,19.10,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21007,KHIV,121,Pelvis,,,,,,,,,,,,,,,,,,26.70,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21007,KHIV,122,Pelvis,,,,,,,,,,,,,,,,,,27.90,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21007,KHIV,123,Pelvis,,,,,,,,,,,,,,,,,,28.10,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21007,KHIV,124,Pelvis,,,,,,,,,,,,,,,,,,28.00,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21007,KHIV,125,Pelvis,,,,,,,,,,,,,,,,,,,,,7.30,11.20,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21007,KHIV,126,Pelvis,,,,,,,,,,,,,,,,,,,,,5.90,8.50,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21007,KHIV,130,Phalanx1,,,,,9.60,44.00,,,,,10.50,,,,,,,,,,,,,,,,,,,,,,,,,,
